source,sealed_block_id,outer_fold,n_records,mae_joint,mae_random,signed_bias_joint,signed_bias_random,rmse_joint,rmse_random,mae_gap_joint_minus_random,absolute_bias_joint,absolute_bias_random,gap_seed_mean,gap_seed_sd,n_positive_seeds,n_negative_seeds
2017_Pye,BLOCK-2c0090ee1dd5b17e,1,16,0.575531821877,0.275701419266,0.351005866677,0.079949489301,0.726275187952,0.349436902478,0.299830402611,0.351005866677,0.079949489301,0.299830402611,0.073850392264,5,0
2015_Ahlbach,BLOCK-513383ed86a73488,5,31,1.025415182615,0.684113763749,0.577850566420,-0.361642853555,1.445712361356,0.818507502399,0.341301418867,0.577850566420,0.361642853555,0.341301418867,0.096005610268,5,0
2016_Hickey,BLOCK-513383ed86a73488,5,18,1.218708772047,0.871164355481,0.939945896467,0.359055961441,1.645205354625,1.129004788444,0.347544416566,0.939945896467,0.359055961441,0.347544416566,0.172410600367,5,0
2022_Saunders,BLOCK-513383ed86a73488,5,10,1.290819889653,0.898672644028,1.248255862474,0.744089011803,1.414786444464,1.163770511968,0.392147245625,1.248255862474,0.744089011803,0.392147245625,0.510604139389,4,1
2006_Rezai_2,BLOCK-4acd8e0f532c9eb9,4,11,0.738729406056,0.321793032820,0.700898254094,0.061640934077,0.794732138663,0.402473974075,0.416936373237,0.700898254094,0.061640934077,0.416936373237,0.281231394187,4,1
2024_Koch,BLOCK-c5e520eb3b94ff25,15,42,1.149808073083,0.689943767939,1.136874866569,-0.042817826742,1.379663820402,0.864800791381,0.459864305145,1.136874866569,0.042817826742,0.459864305145,0.295930808557,5,0
2022_Taechalertpaisarn,BLOCK-513383ed86a73488,5,50,0.804645754942,0.318123082709,-0.570869077507,0.011163749211,0.963700107701,0.438666474096,0.486522672234,0.570869077507,0.011163749211,0.486522672234,0.199796934642,5,0
2018_Naylor,BLOCK-513383ed86a73488,5,72,0.820372820933,0.323980585077,-0.314996802075,-0.057292977865,0.931491485666,0.449770452247,0.496392235856,0.314996802075,0.057292977865,0.496392235856,0.107132938435,5,0
2022_Tamura,BLOCK-bb889e938c0a001a,13,10,0.775105746326,0.234208805865,-0.707453741804,-0.045850625783,0.845552266026,0.292051222181,0.540896940461,0.707453741804,0.045850625783,0.540896940461,0.192614469724,5,0
2020_Hosono,BLOCK-513383ed86a73488,5,11,1.008123008612,0.459571380092,-1.007117201862,0.057418006455,1.139914564119,0.508942919419,0.548551628519,1.007117201862,0.057418006455,0.548551628519,0.207753719132,5,0
2015_Bockus_2,BLOCK-ad504a636f9fcddf,11,17,0.974793438886,0.387011344710,-0.958423379585,0.049055885199,1.123993818020,0.506229071004,0.587782094176,0.958423379585,0.049055885199,0.587782094176,0.140889668247,5,0
2016_Furukawa,BLOCK-513383ed86a73488,5,662,0.830253005541,0.220174090167,0.029738970049,0.001120743581,1.056382838903,0.330586429023,0.610078915374,0.029738970049,0.001120743581,0.610078915374,0.066613218135,5,0
2015_Marelli,BLOCK-513383ed86a73488,5,8,1.017527085692,0.382719321102,0.003105083108,-0.125953613967,1.097937045676,0.504523518248,0.634807764590,0.003105083108,0.125953613967,0.634807764590,0.262838029886,5,0
2024_Faris,BLOCK-c5e520eb3b94ff25,15,207,1.037202133871,0.395459044231,0.913554978154,0.013959545635,1.256814268718,0.498725760798,0.641743089640,0.913554978154,0.013959545635,0.641743089640,0.231111720421,5,0
2013_CHUGAI,BLOCK-5c361cba45039733,7,842,0.930763160254,0.278333300536,-0.756213101941,0.011375513038,1.019850860534,0.419176679137,0.652429859718,0.756213101941,0.011375513038,0.652429859718,0.154259838303,5,0
2020_Le Roux,BLOCK-bb4bcb852b735057,12,43,1.004977592124,0.279371715029,-0.992604590077,0.018875386306,1.084626268599,0.447757168296,0.725605877096,0.992604590077,0.018875386306,0.725605877096,0.219130359302,5,0
2021_Lee,BLOCK-513383ed86a73488,5,3,1.414503514290,0.585826285601,1.398662609259,0.420737493436,1.559831273365,0.845338146403,0.828677228689,1.398662609259,0.420737493436,0.828677228689,0.388642570933,5,0
2015_Lewis,BLOCK-513383ed86a73488,5,1,1.245221868157,0.369217395782,-1.245221868157,-0.369217395782,1.245221868157,0.369217395782,0.876004472375,1.245221868157,0.369217395782,0.876004472375,0.273534235625,5,0
2023_Ghosh,BLOCK-513383ed86a73488,5,29,1.307456182473,0.341859129993,-1.283588580350,-0.128780640739,1.434722743169,0.427935682719,0.965597052480,1.283588580350,0.128780640739,0.965597052480,0.138656205492,5,0
2018_Buckton,BLOCK-c1585d53eda9a867,14,2,2.429778337479,1.231830715388,-2.429778337479,-1.231830715388,2.452507864253,1.309435406785,1.197947622091,2.429778337479,1.231830715388,1.197947622091,0.440225446262,5,0
2018_García-Pindado,BLOCK-5ddb30f65478f699,8,4,1.836969710439,0.318997015044,-1.836969710439,0.045390847400,1.978766649283,0.399730611521,1.517972695395,1.836969710439,0.045390847400,1.517972695395,0.630077114224,5,0
2019_Ono,BLOCK-513383ed86a73488,5,8,1.758474838138,0.237841588460,-1.758474838138,-0.106766535304,1.773699379181,0.290324443119,1.520633249678,1.758474838138,0.106766535304,1.520633249678,0.235493711939,5,0
2018_Lee,BLOCK-c1585d53eda9a867,14,6,2.676194290320,0.267983687222,-2.676194290320,-0.204159756005,2.677162749831,0.401543288504,2.408210603098,2.676194290320,0.204159756005,2.408210603098,0.100440496355,5,0
2022_Lee,BLOCK-513383ed86a73488,5,21,2.747352675830,0.244508873656,2.745280165587,-0.013346183470,2.811385189356,0.302976199466,2.502843802174,2.745280165587,0.013346183470,2.502843802174,0.446374608526,5,0
